the,1141
and,964
to,737
of,667
i,567
you,546
a,531
my,513
hamlet,461
in,436
it,416
that,389
is,340
not,313
lord,310
his,296
this,296
but,270
with,267
for,248
your,242
me,233
be,226
as,221
he,216
what,204
him,197
king,194
so,194
have,179
will,169
horatio,157
do,151
no,142
we,140
are,131
on,126
o,122
all,120
claudius,120
polonius,119
our,118
queen,118
by,117
shall,114
if,113
or,112
good,109
come,106
laertes,105
thou,103
they,103
now,98
more,96
let,95
from,95
gertrude,95
her,91
how,90
at,87
thy,87
ophelia,86
most,82
was,82
like,80
would,79
well,78
there,77
rosencrantz,76
sir,75
them,74
know,74
tis,73
may,70
go,70
us,68
love,67
did,65
first,65
enter,64
then,64
which,64
very,64
guildenstern,64
speak,63
hath,62
why,60
must,60
thee,58
give,58
should,58
their,57
make,56
where,56
an,56
i'll,56
upon,55
say,54
when,54
such,54
some,54
here,54
out,54
am,53
man,52
than,51
too,51
much,50
father,50
these,48
think,47
one,47
clown,47
marcellus,46
see,46
she,46
had,45
yet,44
heaven,43
time,43
tell,43
who,41
thus,41
exit,40
play,39
up,38
ay,38
mother,38
own,37
death,37
nor,37
night,36
take,36
look,36
mine,36
can,36
exeunt,36
soul,34
hear,33
dead,33
again,32
god,32
might,32
life,32
could,32
whose,31
indeed,31
into,31
osric,31
bernardo,30
nothing,30
made,30
ghost,30
pray,30
heart,29
hold,29
dear,29
down,28
been,28
cannot,28
leave,28
within,28
were,28
doth,27
nature,27
matter,27
nay,26
great,26
both,26
never,26
thing,25
part,25
away,25
does,25
head,25
sweet,25
comes,24
even,24
world,24
earth,24
though,24
itself,24
put,24
scene,23
eyes,23
against,23
two,23
true,23
second,23
seen,22
show,22
set,22
madness,22
before,21
off,21
fair,21
day,21
fortinbras,21
those,21
done,21
himself,21
follow,21
call,21
mad,21
friends,20
fear,20
denmark,20
without,20
old,20
son,20
till,20
poor,20
means,20
words,20
players,20
player,20
england,20
act,19
once,19
believe,19
hand,19
blood,19
still,19
gentleman,19
little,18
about,18
father's,18
keep,18
many,18
makes,18
there's,18
reynaldo,18
long,17
farewell,17
welcome,17
art,17
is't,17
young,17
any,17
find,17
